标的证券代码	标的证券简称	本日融资余额(元)	本日融资买入额(元)	本日融资偿还额(元)	本日融券余量	本日融券卖出量	本日融券偿还量
600582	天地科技	391429933	8021997	7890287	804800	123100	32300
600583	海油工程	457025333	5829539	5146193	137200	11300	30000
600584	长电科技	2543568448	249166952	269089993	5328952	563398	451998
600585	海螺水泥	3469465060	97804202	68659769	5340514	373900	68600
600587	新华医疗	371551025	18107559	18563972	11900	900	0
600588	用友网络	3562879633	28875828	72888315	981211	67200	33100
600590	泰豪科技	210174865	3952355	6652379	0	0	0
600592	龙溪股份	406235102	5563752	2772440	7400	0	0
600594	益佰制药	365149363	11978554	6313077	80500	0	0
600596	新安股份	1090429706	104488795	168236057	142600	26600	2500
600597	光明乳业	535822002	15870019	20397908	220018	34300	21000
600598	北大荒	703684151	31379816	33417969	606000	157100	342738
600600	青岛啤酒	698637077	76675963	48889389	81461	13860	10900
600601	方正科技	813271500	2891156	7887032	0	0	0
600602	云赛智联	235424992	985766	4452958	8923	200	0
600604	市北高新	432791216	4008711	9335556	10000	0	12400
600606	绿地控股	2099816908	34978671	46677877	1242900	3700	53400
600609	金杯汽车	542503904	8597319	8400423	55500	5000	5000
600611	大众交通	302838737	642746	732831	11500	0	0
600612	老凤祥	111920945	8960479	2469945	1000	0	0
600616	金枫酒业	241128469	51104401	66690382	9960	0	0
600617	国新能源	54510498	1300887	1197461	0	0	0
600618	氯碱化工	127726085	4740879	4557295	4969	0	0
600620	天宸股份	227979402	2144074	2579866	6500	0	0
600621	华鑫股份	966324479	224800887	251519783	269083	33100	42400
600622	光大嘉宝	219925850	3506627	2531600	0	0	0
600623	华谊集团	181958321	33599446	34368982	221500	7400	13200
600624	复旦复华	365808827	1682154	2382703	54900	0	0
600626	申达股份	282046110	1724466	3001918	2300	0	0
600633	浙数文化	602646988	13470380	16396635	399682	11900	64700
600635	大众公用	656488550	9672483	9845952	14100	0	0
600636	国新文化	296198738	6485946	11932306	0	0	0
600637	东方明珠	1018642949	16006272	23263728	354232	39000	8300
